FILE,RA,RA_DEG,DEC,DEC_DEG,OBJECT,MJDEND,EXPTIME,col8
2278951o_pp_e2dsff_tcorr_AB.fits,15:46:11.25,236.546875,15:25:18.6,15.421833,betSer,58262.433211,300.884,
2278955o_pp_e2dsff_tcorr_AB.fits,17:57:47.51,269.447958,4:44:46.2,4.746167,Gl699,58262.4705617,300.884,
2279005o_pp_e2dsff_tcorr_AB.fits,22:14:44.37,333.684875,42:57:14.1,42.953917,HR8489,58262.5943462,150.442,
2279017o_pp_e2dsff_tcorr_AB.fits,19:29:42.36,292.426500,51:43:47.2,51.729778,iotCyg,58262.6351111,22.288,
2279073o_pp_e2dsff_tcorr_AB.fits,10:49:15.43,162.314292,10:32:42.7,10.545194,lLeo,58263.2284607,94.723,
2279083o_pp_e2dsff_tcorr_AB.fits,10:16:14.43,154.060125,29:18:37.8,29.310500,23LMi,58263.3101871,245.164,
2279084o_pp_e2dsff_tcorr_AB.fits,11:42:11.09,175.546208,26:42:23.6,26.706556,Gl436,58263.3168314,256.308,
2279104o_pp_e2dsff_tcorr_AB.fits,14:49:58.40,222.493333,28:36:57.0,28.615833,HD130917,58263.4013976,300.884,
2279169o_pp_e2dsff_tcorr_AB.fits,8:34:43.88,128.682833,36:25:10.6,36.419611,33Lyn,58264.2403717,139.298,
2279171o_pp_e2dsff_tcorr_AB.fits,12:18:49.98,184.708250,75:09:38.0,75.160556,HR4687,58264.2566449,239.593,
2279181o_pp_e2dsff_tcorr_AB.fits,13:39:30.45,204.876875,52:55:16.3,52.921194,82UMa,58264.3266191,300.884,
2279254o_pp_e2dsff_tcorr_AB.fits,18:42:45.09,280.687875,59:38:22.3,59.639528,Gl725A,58264.5970995,61.291,
2279271o_pp_e2dsff_tcorr_AB.fits,19:04:55.16,286.229833,53:23:48.0,53.396667,51Dra,58264.6398618,300.884,
2279346o_pp_e2dsff_tcorr_AB.fits,11:16:39.70,169.165417,-3:39:05.8,-3.651611,phiLeo,58265.3052509,122.582,
2279347o_pp_e2dsff_tcorr_AB.fits,12:25:11.76,186.299000,-11:36:38.1,-11.610583,HR4722,58265.3119651,300.884,
2279399o_pp_e2dsff_tcorr_AB.fits,17:33:29.84,263.374333,-5:44:41.3,-5.744806,HD159170,58265.4562011,245.164,
2279400o_pp_e2dsff_tcorr_AB.fits,13:34:41.75,203.673958,-0:35:45.4,-0.595944,zetVir,58265.4634189,150.442,
2279457o_pp_e2dsff_tcorr_AB.fits,20:29:53.91,307.474625,-18:34:59.5,-18.583194,omiCapA,58265.6138539,300.884,
2279536o_pp_e2dsff_tcorr_AB.fits,16:06:19.68,241.582000,67:48:36.5,67.810139,HR6025,58266.3070415,300.884,
2279697o_pp_e2dsff_tcorr_AB.fits,21:56:56.37,329.234875,12:04:35.4,12.076500,17Peg,58266.6433143,245.164,
2279848o_pp_e2dsff_tcorr_AB.fits,21:08:33.62,317.140083,-21:11:37.2,-21.193667,chiCap,58268.61014,105.866,
2294165o_pp_e2dsff_tcorr_AB.fits,0:18:26.46,4.610250,44:01:30.2,44.025056,Gl15A,58324.4991708,61.291,
2294193o_pp_e2dsff_tcorr_AB.fits,0:06:43.25,1.680208,-7:32:14.7,-7.537417,GJ1002,58324.5878675,300.884,
2294341o_pp_e2dsff_tcorr_AB.fits,17:15:19.66,258.831917,4:57:35.7,4.959917,GJ1214,58327.2479476,451.326,
2294404o_pp_e2dsff_tcorr_AB.fits,23:11:44.19,347.934125,8:43:12.4,8.720111,59Peg,58327.5042293,122.582,
2294407o_pp_e2dsff_tcorr_AB.fits,23:06:30.36,346.626500,-5:02:29.2,-5.041444,Trappist-1,58327.5531666,902.651,
2294424o_pp_e2dsff_tcorr_AB.fits,1:05:41.71,16.423792,21:27:55.6,21.465444,74PscB,58327.6438925,300.884,
2294543o_pp_e2dsff_tcorr_AB.fits,18:29:11.85,277.299375,-14:33:56.9,-14.565806,gamSct,58328.4280967,122.582,
2294566o_pp_e2dsff_tcorr_AB.fits,20:00:43.71,300.182125,22:42:34.4,22.709556,HD189733,58328.5167915,245.164,
2294587o_pp_e2dsff_tcorr_AB.fits,23:27:05.29,351.772042,-1:17:06.6,-1.285167,GJ9827,58328.6063961,378.891,
2294661o_pp_e2dsff_tcorr_AB.fits,13:30:01.18,202.504917,10:22:17.8,10.371611,Gl514,58329.2638477,183.873,
2305216o_pp_e2dsff_tcorr_AB.fits,2:17:18.87,34.328625,33:50:49.9,33.847194,gamTri,58383.5300569,183.873,
2305224o_pp_e2dsff_tcorr_AB.fits,4:50:36.72,72.653000,8:54:00.6,8.900167,pi.02Ori,58383.5791497,300.884,
2305235o_pp_e2dsff_tcorr_AB.fits,3:32:54.62,53.227583,-9:27:29.3,-9.458139,epsilonEri,58383.6571969,11.144,
2305412o_pp_e2dsff_tcorr_AB.fits,1:10:39.32,17.663833,68:46:43.0,68.778611,31Cas,58384.5384484,601.767,
2305736o_pp_e2dsff_tcorr_AB.fits,2:56:37.42,44.155917,-3:42:44.4,-3.712333,HR875,58386.5458045,289.740,
2306050o_pp_e2dsff_tcorr_AB.fits,4:16:43.09,64.179542,53:36:42.5,53.611806,HR1314,58387.5766103,601.767,
2306057o_pp_e2dsff_tcorr_AB.fits,5:46:57.34,86.738917,-14:49:19.0,-14.821944,zetLep,58387.6104009,183.873,
2362484o_pp_e2dsff_tcorr_AB.fits,5:30:26.16,82.609000,15:21:37.6,15.360444,HR1832,58470.4931325,300.884,
2362490o_pp_e2dsff_tcorr_AB.fits,7:43:00.41,115.751708,58:42:37.3,58.710361,24Lyn,58470.5255852,300.884,
2362495o_pp_e2dsff_tcorr_AB.fits,11:05:23.45,166.347708,43:31:53.6,43.531556,Gl412A,58470.5533362,273.024,
2362666o_pp_e2dsff_tcorr_AB.fits,7:59:52.05,119.966875,-18:23:57.2,-18.399222,HR3131,58471.4668849,167.158,
2362667o_pp_e2dsff_tcorr_AB.fits,8:37:52.15,129.467292,-26:15:18.0,-26.255000,etaPyx,58471.4711906,183.873,
2362673o_pp_e2dsff_tcorr_AB.fits,6:18:50.78,94.711583,69:19:11.2,69.319778,HR2209,58471.5033918,183.873,
2362863o_pp_e2dsff_tcorr_AB.fits,6:08:57.87,92.241125,-22:25:38.7,-22.427417,HR2180,58472.4631084,183.873,
2374855o_pp_e2dsff_tcorr_AB.fits,5:38:18.10,84.575417,-7:02:26.0,-7.040556,V883Ori,58528.3720708,122.582,
2374941o_pp_e2dsff_tcorr_AB.fits,10:12:17.51,153.072958,-3:44:49.1,-3.746972,Gl382,58528.5158453,94.723,
2374961o_pp_e2dsff_tcorr_AB.fits,10:19:35.64,154.898500,19:52:11.2,19.869778,Gl388,58528.5693213,61.291,
2374981o_pp_e2dsff_tcorr_AB.fits,11:03:19.50,165.831250,35:56:40.7,35.944639,Gl411,58528.6164779,61.291,
2375006o_pp_e2dsff_tcorr_AB.fits,17:36:25.49,264.106208,68:19:56.6,68.332389,Gl687,58528.664341,61.291,
2375018o_pp_e2dsff_tcorr_AB.fits,18:42:45.10,280.687917,59:38:12.3,59.636750,Gl725B,58528.6827923,61.291,
2375325o_pp_e2dsff_tcorr_AB.fits,4:47:06.21,71.775875,16:58:42.5,16.978472,DRTau,58531.2446874,245.164,
2375329o_pp_e2dsff_tcorr_AB.fits,4:31:40.11,67.917125,18:13:56.3,18.232306,XZTau,58531.2604315,356.603,
2375347o_pp_e2dsff_tcorr_AB.fits,7:50:35.59,117.648292,-33:06:23.8,-33.106611,BBW76,58531.3389408,479.185,
2375351o_pp_e2dsff_tcorr_AB.fits,5:35:36.00,83.900000,-5:12:25.3,-5.207028,NYOri,58531.373452,1025.233,
2376124o_pp_e2dsff_tcorr_AB.fits,5:25:52.00,81.466667,34:52:30.0,34.875000,V582Aur,58540.380499,479.185,
2376132o_pp_e2dsff_tcorr_AB.fits,6:57:22.20,104.342500,-8:23:17.6,-8.388222,V900Mon,58540.4112737,423.466,
2399465o_pp_e2dsff_tcorr_AB.fits,13:47:15.08,206.812833,17:27:25.9,17.457194,TauBoo,58588.2860676,94.723,
2399668o_pp_e2dsff_tcorr_AB.fits,20:58:53.70,314.723750,44:15:28.2,44.257833,V1057Cyg,58588.6298892,122.582,
2399989o_pp_e2dsff_tcorr_AB.fits,20:23:48.00,305.950000,42:12:25.7,42.207139,V1515Cyg,58590.6265737,300.884,
2400959o_pp_e2dsff_tcorr_AB.fits,14:01:02.14,210.258917,-2:39:05.9,-2.651639,Gl536,58595.4700051,122.582,
2401683o_pp_e2dsff_tcorr_AB.fits,23:41:55.19,355.479958,44:10:08.0,44.168889,Gl905,58599.6376746,61.291,
2402887o_pp_e2dsff_tcorr_AB.fits,16:13:55.94,243.483083,33:46:22.5,33.772917,sigCrBC,58604.5651702,128.154,
2413153o_pp_e2dsff_tcorr_AB.fits,23:43:07.53,355.781375,36:32:10.2,36.536167,GJ1289,58618.6053212,217.305,
2425412o_pp_e2dsff_tcorr_AB.fits,16:10:14.73,242.561375,-19:19:09.9,-19.319417,K2-33,58647.3004352,674.202,
2425576o_pp_e2dsff_tcorr_AB.fits,19:35:19.92,293.833000,-28:29:55.1,-28.498639,K2-147,58648.4449872,646.343,
2425592o_pp_e2dsff_tcorr_AB.fits,22:02:09.71,330.540458,1:23:55.4,1.398722,Gl846,58648.498207,111.438,
2425598o_pp_e2dsff_tcorr_AB.fits,22:53:17.94,343.324750,-14:16:02.4,-14.267333,Gl876,58648.5131144,83.579,
2425620o_pp_e2dsff_tcorr_AB.fits,20:45:09.89,311.291208,-31:20:34.2,-31.342833,AUMic,58648.6189078,195.017,
2426537o_pp_e2dsff_tcorr_AB.fits,23:35:11.51,353.797958,-2:23:37.0,-2.393611,GJ1286,58653.6175419,183.873,
2437248o_pp_e2dsff_tcorr_AB.fits,21:51:38.22,327.909250,59:17:40.1,59.294472,TYC3980-1081-1,58744.3755918,61.291,
2437485o_pp_e2dsff_tcorr_AB.fits,22:54:49.98,343.708250,-18:54:45.4,-18.912611,TOI-233,58745.3575008,300.884,
2446035o_pp_e2dsff_tcorr_AB.fits,4:16:45.67,64.190292,-12:05:06.4,-12.085111,TOI-442,58758.5880021,601.767,
2448019o_pp_e2dsff_tcorr_AB.fits,5:36:26.26,84.109417,-24:14:40.6,-24.244611,TOI-876,58770.5575128,328.743,
2459369o_pp_e2dsff_tcorr_AB.fits,1:57:10.61,29.294208,-10:14:58.2,-10.249500,G 272-127,58801.3844594,94.723,
2464538o_pp_e2dsff_tcorr_AB.fits,10:18:35.14,154.646417,-11:43:06.7,-11.718528,TOI-732,58826.4914497,328.743,
2468635o_pp_e2dsff_tcorr_AB.fits,11:02:45.70,165.690417,-16:24:23.4,-16.406500,TOI-736,58884.4339918,1203.535,
2483175o_pp_e2dsff_tcorr_AB.fits,10:42:14.13,160.558875,-3:50:06.0,-3.835000,WASP-127,58919.3507708,300.884,
2491280o_pp_e2dsff_tcorr_AB.fits,21:21:54.82,320.478417,35:38:54.8,35.648556,TOI-1278,58999.5932453,300.884,
2491395o_pp_e2dsff_tcorr_AB.fits,15:56:42.30,239.176250,-37:49:15.3,-37.820917,RULup,59000.357125,395.606,
2491454o_pp_e2dsff_tcorr_AB.fits,23:06:30.67,346.627792,-5:02:38.8,-5.044111,TRAPPIST-1,59000.5398749,512.617,
2491904o_pp_e2dsff_tcorr_AB.fits,10:08:52.07,152.216958,69:16:36.0,69.276667,TYC 4384-1735-1,59003.247012,590.624,
2492172o_pp_e2dsff_tcorr_AB.fits,19:20:41.74,290.173917,73:11:42.0,73.195000,TOI-1452,59004.5006142,902.651,
2492448o_pp_e2dsff_tcorr_AB.fits,21:47:24.55,326.852292,62:45:13.7,62.753806,TOI-1759,59005.5532881,902.651,
2498871o_pp_e2dsff_tcorr_AB.fits,19:38:38.70,294.661250,31:13:09.2,31.219222,HD 185603,59036.2833088,94.723,
2499200o_pp_e2dsff_tcorr_AB.fits,13:28:03.87,202.016125,-15:56:16.9,-15.938028,K2-277,59037.284379,841.360,
2503778o_pp_e2dsff_tcorr_AB.fits,17:05:12.54,256.302250,-5:06:02.5,-5.100694,HD 154363B,59063.2666733,66.863,
2510163o_pp_e2dsff_tcorr_AB.fits,21:51:53.66,327.973583,42:20:33.2,42.342556,HD 207966B,59091.4831666,111.438,
